Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-11-11 00:00:00+00:00,33898.46875,36267.5,33853.734375,35725.734375,95626431622,0.0,0.0
2017-11-12 00:00:00+00:00,35726.7578125,36233.44140625,33890.1796875,35002.98046875,183420399125,0.0,0.0
2017-11-13 00:00:00+00:00,34902.6015625,37324.3671875,34902.6015625,35975.76953125,118348283283,0.0,0.0
2017-11-14 00:00:00+00:00,35981.109375,38742.7578125,35981.109375,38287.35546875,121301712000,0.0,0.0
2017-11-15 00:00:00+00:00,38325.1171875,38563.96484375,37308.4453125,37586.0,81480589696,0.0,0.0
2017-11-16 00:00:00+00:00,37595.69921875,37948.98828125,36651.61328125,37407.6484375,90121593969,0.0,0.0
2017-11-17 00:00:00+00:00,37322.078125,37649.953125,36862.71484375,37251.3984375,69677616413,0.0,0.0
2017-11-18 00:00:00+00:00,37205.0,39181.46484375,36723.8828125,38956.875,72805040040,0.0,0.0
2017-11-19 00:00:00+00:00,38933.23046875,41610.58203125,38635.01171875,39694.7734375,132343173508,0.0,0.0
2017-11-20 00:00:00+00:00,39662.06640625,41906.34765625,39603.6953125,41271.796875,90822819480,0.0,0.0
2017-11-21 00:00:00+00:00,41352.03515625,41932.671875,39481.015625,40483.84375,106703614960,0.0,0.0
2017-11-22 00:00:00+00:00,40473.84765625,42429.1640625,40455.3125,42355.1484375,89107131020,0.0,0.0
2017-11-23 00:00:00+00:00,42442.71875,47325.1953125,41824.74609375,45635.06640625,205350356800,0.0,0.0
2017-11-24 00:00:00+00:00,45894.86328125,53642.91796875,44830.9921875,52966.82421875,255719324546,0.0,0.0
2017-11-25 00:00:00+00:00,53052.14453125,54113.4609375,51421.2421875,52003.76171875,158604582400,0.0,0.0
2017-11-26 00:00:00+00:00,51970.08203125,52746.4296875,50367.6171875,52628.70703125,133744111227,0.0,0.0
2017-11-27 00:00:00+00:00,52651.15234375,54975.18359375,52147.0625,53377.046875,155176857600,0.0,0.0
2017-11-28 00:00:00+00:00,53395.16015625,53666.25,51876.4375,52785.3203125,150296326428,0.0,0.0
2017-11-29 00:00:00+00:00,52827.625,58367.80859375,47612.203125,47878.30078125,299678531351,0.0,0.0
2017-11-30 00:00:00+00:00,48291.765625,52131.01171875,45035.515625,50331.625,214225212800,0.0,0.0
2017-12-01 00:00:00+00:00,50117.1796875,52974.7421875,48240.78125,52299.13671875,139887340826,0.0,0.0
2017-12-02 00:00:00+00:00,52334.0,53386.39453125,51190.8046875,51952.6328125,105783163206,0.0,0.0
2017-12-03 00:00:00+00:00,51981.328125,54538.66796875,50901.125,52585.484375,111814073257,0.0,0.0
2017-12-04 00:00:00+00:00,52608.17578125,53616.56640625,51165.328125,52893.25,113114321300,0.0,0.0
2017-12-05 00:00:00+00:00,52903.37109375,53313.16015625,51601.1640625,52100.58203125,136832331200,0.0,0.0
2017-12-06 00:00:00+00:00,52024.4453125,52022.26171875,47164.37109375,48130.43359375,224404594406,0.0,0.0
2017-12-07 00:00:00+00:00,47881.23828125,49630.6796875,46699.9765625,49170.640625,241046033733,0.0,0.0
2017-12-08 00:00:00+00:00,49236.40625,52902.69921875,47883.74609375,51750.3984375,265132391506,0.0,0.0
2017-12-09 00:00:00+00:00,51899.39453125,57210.6015625,51775.58984375,53733.0078125,227396896184,0.0,0.0
2017-12-10 00:00:00+00:00,53652.09765625,53652.09765625,48741.25,50157.421875,159444635366,0.0,0.0
2017-12-11 00:00:00+00:00,50002.65234375,58686.3203125,49829.5234375,58488.5390625,201129297600,0.0,0.0
2017-12-12 00:00:00+00:00,59300.35546875,74625.3125,57280.24609375,73950.453125,588014274355,0.0,0.0
2017-12-13 00:00:00+00:00,73209.7265625,84635.40625,67814.203125,79244.0078125,510187119575,0.0,0.0
2017-12-14 00:00:00+00:00,78998.9765625,84816.484375,75004.109375,78202.7578125,429507379796,0.0,0.0
2017-12-15 00:00:00+00:00,78265.6953125,78476.1484375,69658.1953125,77048.3125,310547986501,0.0,0.0
2017-12-16 00:00:00+00:00,77244.6328125,80868.6015625,76636.078125,78372.2421875,243791735908,0.0,0.0
2017-12-17 00:00:00+00:00,78375.3984375,82942.1953125,78375.3984375,81155.578125,242053795389,0.0,0.0
2017-12-18 00:00:00+00:00,81353.6328125,90490.1328125,77662.5546875,89445.2421875,365733337805,0.0,0.0
2017-12-19 00:00:00+00:00,89361.5,99315.7109375,88437.359375,93422.734375,462869171845,0.0,0.0
2017-12-20 00:00:00+00:00,93501.03125,95661.0234375,85390.65625,92761.4921875,449595701376,0.0,0.0
2017-12-21 00:00:00+00:00,92891.7265625,99827.1640625,89930.5703125,93034.6484375,404410199478,0.0,0.0
2017-12-22 00:00:00+00:00,93213.6796875,93784.7578125,61629.98828125,76434.640625,563775443661,0.0,0.0
2017-12-23 00:00:00+00:00,77165.8515625,86518.75,76986.3359375,81477.7734375,280923304776,0.0,0.0
2017-12-24 00:00:00+00:00,81747.5546875,81747.5546875,69646.0625,78646.96875,260652302310,0.0,0.0
2017-12-25 00:00:00+00:00,79181.96875,88628.328125,79181.96875,86768.9921875,282316422502,0.0,0.0
2017-12-26 00:00:00+00:00,86489.8203125,89127.5703125,86221.546875,87598.234375,249171304755,0.0,0.0
2017-12-27 00:00:00+00:00,87726.6015625,89319.7578125,83654.8125,86361.34375,237744390866,0.0,0.0
2017-12-28 00:00:00+00:00,86289.5703125,86422.9765625,79121.9453125,83180.4140625,269639463583,0.0,0.0
2017-12-29 00:00:00+00:00,83560.296875,86738.28125,82080.8984375,84907.2109375,298459448097,0.0,0.0
2017-12-30 00:00:00+00:00,84932.3359375,84932.3359375,77204.9765625,80813.3515625,359167183416,0.0,0.0
2017-12-31 00:00:00+00:00,80244.921875,85653.203125,80009.109375,85268.671875,287815138191,0.0,0.0
2018-01-01 00:00:00+00:00,85158.703125,88144.1796875,83668.375,87123.0,292697912033,0.0,0.0
2018-01-02 00:00:00+00:00,87089.734375,103110.4921875,87082.015625,99269.9921875,649123177062,0.0,0.0
2018-01-03 00:00:00+00:00,99444.640625,109715.6875,97492.3046875,108402.265625,573489808794,0.0,0.0
2018-01-04 00:00:00+00:00,108288.8828125,117811.8671875,106718.5,110648.0,733522582733,0.0,0.0
2018-01-05 00:00:00+00:00,110064.6015625,121658.875,108189.046875,112802.21875,755596919101,0.0,0.0
2018-01-06 00:00:00+00:00,112512.109375,119923.8671875,112451.9609375,117772.34375,527110567875,0.0,0.0
2018-01-07 00:00:00+00:00,117922.7109375,130481.1875,117922.7109375,130481.1875,630231929242,0.0,0.0
2018-01-08 00:00:00+00:00,131057.1171875,143391.140625,114823.8125,129944.6875,956142758472,0.0,0.0
2018-01-09 00:00:00+00:00,129658.4375,148781.96875,129600.734375,146571.671875,898264920591,0.0,0.0
2018-01-10 00:00:00+00:00,146639.34375,159129.25,136581.90625,139948.578125,1026914072576,0.0,0.0
2018-01-11 00:00:00+00:00,141315.953125,149175.828125,126310.3671875,128509.0703125,805138582318,0.0,0.0
2018-01-12 00:00:00+00:00,128882.9296875,144547.34375,124565.203125,141363.390625,579831986765,0.0,0.0
2018-01-13 00:00:00+00:00,141060.28125,159092.671875,141060.28125,155044.515625,638062784118,0.0,0.0
2018-01-14 00:00:00+00:00,155162.203125,155504.1875,142807.890625,151889.15625,538050365015,0.0,0.0
2018-01-15 00:00:00+00:00,151715.78125,154105.1875,142714.546875,142899.28125,528837474539,0.0,0.0
2018-01-16 00:00:00+00:00,142977.8125,142745.125,96633.8984375,116316.8359375,927843401067,0.0,0.0
2018-01-17 00:00:00+00:00,117161.3203125,121386.203125,86932.234375,112926.59375,951418135777,0.0,0.0
2018-01-18 00:00:00+00:00,113170.4296875,122310.46875,107750.28125,115047.8125,659272272189,0.0,0.0
2018-01-19 00:00:00+00:00,114219.59375,120888.265625,111331.515625,115090.7109375,452393687317,0.0,0.0
2018-01-20 00:00:00+00:00,115738.65625,129269.1015625,115738.65625,127944.4140625,440292046172,0.0,0.0
